cve_id,published_date,last_modified_date,description,cvss_score,cvss_severity,cwe_id,source
CVE-2026-3395,2026-03-01T14:16:05.960,2026-06-17T10:43:31.747,A flaw has been found in MaxSite CMS up to 109.1. This impacts the function eval of the file application/maxsite/admin/plugins/editor_markitup/preview-ajax.php of the component MarkItUp Preview AJAX Endpoint. Executing a manipulation can lead to code injection. It is possible to launch the attack remotely. The exploit has been published and may be used. Upgrading to version 109.2 will fix this issue. This patch is called 08937a3c5d672a242d68f53e9fccf8a748820ef3. You should upgrade the affected component. The code maintainer was informed beforehand about the issues. He reacted very fast and highly professional.,7.3,HIGH,CWE-74;CWE-94,cna@vuldb.com
CVE-2026-3400,2026-03-02T00:16:03.293,2026-06-17T10:43:32.253,A security flaw has been discovered in Tenda AC15 up to 15.13.07.13. Affected by this issue is some unknown functionality of the file /goform/TextEditingConversion. The manipulation of the argument wpapsk_crypto2_4g results in stack-based buffer overflow. The attack may be launched remotely. The exploit has been released to the public and may be used for attacks.,8.8,HIGH,CWE-119;CWE-121;CWE-787,cna@vuldb.com
CVE-2026-3406,2026-03-02T03:16:01.357,2026-06-17T10:43:33.090,A vulnerability was found in projectworlds Online Art Gallery Shop 1.0. The impacted element is an unknown function of the file /admin/registration.php of the component Registration Handler. The manipulation of the argument fname results in sql injection. It is possible to launch the attack remotely. The exploit has been made public and could be used.,7.3,HIGH,CWE-74;CWE-89,cna@vuldb.com
CVE-2026-3410,2026-03-02T05:16:19.717,2026-06-17T10:43:33.643,A weakness has been identified in itsourcecode Society Management System 1.0. Affected by this vulnerability is an unknown functionality of the file /admin/check_studid.php. Executing a manipulation of the argument student_id can lead to sql injection. The attack may be launched remotely. The exploit has been made available to the public and could be used for attacks.,7.3,HIGH,CWE-74;CWE-89,cna@vuldb.com
CVE-2026-3411,2026-03-02T05:16:19.957,2026-06-17T10:43:33.780,A security vulnerability has been detected in itsourcecode University Management System 1.0. Affected by this issue is some unknown functionality of the file /admin_single_student_update.php. The manipulation of the argument ID leads to sql injection. Remote exploitation of the attack is possible. The exploit has been disclosed publicly and may be used.,7.3,HIGH,CWE-74;CWE-89,cna@vuldb.com
CVE-2026-3413,2026-03-02T07:16:23.240,2026-06-17T10:43:34.070,A flaw has been found in itsourcecode University Management System 1.0. This vulnerability affects unknown code of the file /admin_single_student.php. This manipulation of the argument ID causes sql injection. The attack is possible to be carried out remotely. The exploit has been published and may be used.,7.3,HIGH,CWE-74;CWE-89,cna@vuldb.com
CVE-2025-14532,2026-03-02T13:16:04.153,2026-06-17T08:36:05.750,"DobryCMS's upload file functionality allows an unauthenticated remote attacker to upload files of any type and extension without restriction, which can result in Remote Code Execution.  This issue was fixed in versions above 5.0.",9.8,CRITICAL,CWE-434,cvd@cert.pl
CVE-2026-3432,2026-03-02T13:16:05.367,2026-06-17T10:43:35.073,"On SimStudio version below to 0.5.74, the `/api/auth/oauth/token` endpoint contains a code path that bypasses all authorization checks when provided with `credentialAccountUserId` and `providerId` parameters. An unauthenticated attacker can retrieve OAuth access tokens for any user by supplying their user ID and a provider name, effectively stealing credentials to third-party services.",9.1,CRITICAL,CWE-862,vulnreport@tenable.com
CVE-2025-50190,2026-03-02T15:16:30.527,2026-06-17T09:34:50.047,"Chamilo is a learning management system. Prior to version 1.11.30, there is an error-based SQL Injection via the GET openid.assoc_handle parameter with the /index.php script. This issue has been patched in version 1.11.30.",9.8,CRITICAL,CWE-89,security-advisories@github.com
CVE-2025-50192,2026-03-02T15:16:30.840,2026-06-17T09:34:56.277,"Chamilo is a learning management system. Prior to version 1.11.30, there is a time-based SQL Injection in found in /main/webservices/registration.soap.php. This issue has been patched in version 1.11.30.",9.8,CRITICAL,CWE-89,security-advisories@github.com
